TIME (Min),Mercury-thermometer Taylor633m SAMA ,Thermocouple Probe 80BK-A (FLUKE 287),Infrared Thermometer FDL023 -50°c to 420°.,FLIR® TG165-X,Embedded System with SKF
1,39.7,39.9,40.5,40.4,40
2,39.6,39.8,39.9,39.6,39.7
3,39.1,39.2,39.4,39.3,39.4
4,38.9,38.8,39.1,38.9,38.6
5,38.1,38.2,38.4,38.2,38
6,37.9,38,38.1,38,37.8
7,37.5,37.7,37.7,37.5,37.5
8,36.8,36.9,36.9,36.8,36.6
9,36.4,36.6,36.6,36.3,36.2
10,35.9,35.9,36,35.9,35.9
11,35.6,35.7,35.8,35.6,35.6
12,35.4,35.3,35.6,35.3,35.4
13,35.1,35.2,35.2,34.9,35
14,34.9,34.8,35.1,35,34.7
15,34.7,34.8,34.9,34.7,34.6
16,34.1,34.4,34.3,34.1,33.9
17,34,34.3,34.3,34.2,34
18,33.9,33.9,34.2,33.9,33.9
19,33.7,33.8,33.9,33.8,33.6
20,33.5,33.5,33.6,33.4,33.3
21,33.3,33.5,33.6,33.5,33.3
22,33.1,33.3,33.3,33.1,32.9
23,32.9,32.7,33,32.9,32.7
24,32.7,32.7,32.9,32.8,32.5
25,32.4,32.7,32.7,32.6,32.2
26,32.2,32.2,32.4,32.3,32
27,32.1,32.1,32.4,32.1,32.1
28,31,31.7,31.3,31,30.9
29,30.5,30.7,30.6,30.8,30.9
30,29.9,29.8,30.1,29.9,29.8
