TIME (Min),Mercury-thermometer Taylor633m SAMA ,Thermocouple Probe 80BK-A (FLUKE 287),Infrared Thermometer FDL023 -50°c to 420°.,FLIR® TG165-X,Embedded System with SKF
1,90.3,90.5,91.4,91.5,91.3
2,89.5,89.7,90.1,91.3,89.3
3,88.7,88.9,89.7,91.1,88.4
4,89.4,89.5,88.5,89.7,89.2
5,88.9,89,88.7,88.2,88.4
6,85.7,85.3,85.3,85.5,85.4
7,83.6,83.4,85.1,85,84.1
8,81.3,81.2,80.9,80.3,81.6
9,79.5,79.3,80.1,80.1,79.1
10,78,78.9,79.7,80,78.4
11,77.3,77.9,77,75.6,78.3
12,76.9,76.5,77.3,74.9,76.7
13,73.3,73.8,72.6,72.9,74.6
14,70.5,70.9,69.8,70.3,70.4
15,69.3,69.3,69.5,70.1,70.1
16,68.6,68.7,69.3,69.6,68.9
17,67.6,67.3,66.3,66.9,67.6
18,66.8,66.7,66.5,66.7,66.9
19,66.4,66.2,66.3,66.1,66.1
20,65.6,65.8,65.4,65.7,65.9
21,64.6,64.3,64.7,64.9,64.6
22,63.6,64.1,63.5,64.7,64.7
23,62.9,63.2,63.5,63.8,63.5
24,62.2,63.3,63.4,63.5,63.4
25,62,63.2,63.1,62.9,63.3
26,61.4,61.2,61.3,62.1,62.7
27,58.6,58.5,58.8,58.9,59.1
28,57.8,57.7,58.3,58.1,58.2
29,57.3,57.2,58.1,57.3,57.7
30,56.4,56.5,57.1,56.9,56.4
